"rgn_id","species_code","year","tonnes"
28,4,2017,210510
33,4,2017,140687
35,4,2017,43126
45,4,2017,145875
75,4,2017,117567
76,4,2017,10735
9,4,2018,842893
16,4,2018,293490
28,4,2018,199984
33,4,2018,108651
35,4,2018,62250
45,4,2018,167386
75,4,2018,90566
76,4,2018,10560
9,4,2019,1243394
16,4,2019,262449
28,4,2019,133733
33,4,2019,63487
35,4,2019,45496
45,4,2019,145672
75,4,2019,125475
76,4,2019,5897
9,4,2020,390434
16,4,2020,293549
28,4,2020,106553
33,4,2020,28563
35,4,2020,44234
45,4,2020,125552
75,4,2020,97228
76,4,2020,2
9,4,2021,412505
16,4,2021,373238
28,4,2021,156926
33,4,2021,46864
35,4,2021,56787
45,4,2021,123904
75,4,2021,139544
76,4,2021,1237
9,4,2022,458744
16,4,2022,338991
28,4,2022,177576
33,4,2022,10
35,4,2022,50331
45,4,2022,96507
75,4,2022,192330
76,4,2022,0
2,5,2014,20
3,5,2014,0
9,5,2014,889838
18,5,2014,30
27,5,2014,6
28,5,2014,4871514
89,5,2014,0
2,5,2015,0
3,5,2015,9000
9,5,2015,444502
18,5,2015,0
27,5,2015,800
28,5,2015,5115625
89,5,2015,0
2,5,2016,0
3,5,2016,4029
9,5,2016,496184
18,5,2016,142857
27,5,2016,26905
28,5,2016,6181848
89,5,2016,0
2,5,2017,0
3,5,2017,19500
9,5,2017,781502
18,5,2017,9740
27,5,2017,8937
28,5,2017,8780409
89,5,2017,0
2,5,2018,271
3,5,2018,80061
9,5,2018,822046
18,5,2018,1724
27,5,2018,24087
28,5,2018,13921991
89,5,2018,0
2,5,2019,10
3,5,2019,27869
9,5,2019,592076
18,5,2019,266
27,5,2019,5080
28,5,2019,10694198
89,5,2019,0
2,5,2020,263
3,5,2020,44450
9,5,2020,354284
18,5,2020,1156
27,5,2020,16493
28,5,2020,6880852
89,5,2020,51
2,5,2021,135
3,5,2021,90196
9,5,2021,197827
18,5,2021,115
27,5,2021,10968
28,5,2021,6120911
89,5,2021,4134
2,5,2022,0
3,5,2022,35152
9,5,2022,273743
18,5,2022,2752
27,5,2022,7011
28,5,2022,5377148
89,5,2022,1262
