"rgn_id","sector","year","wage_usd"
14,"Alojamiento",2019,481586.3424
15,"Alojamiento",2019,0
15,"Pesca",2019,0
16,"Acuicultura",2019,40511460.6752
16,"Alojamiento",2019,1917856.472
16,"Transporte",2019,12625561.0944
16,"Turismo",2019,0
17,"Alojamiento",2019,1229277.8864
18,"Alojamiento",2019,0
20,"Acuicultura",2019,739122847.7952
20,"Alojamiento",2019,241487.8032
21,"Acuicultura",2019,8257560.416
21,"Alojamiento",2019,1526613.6528
21,"Pesca",2019,0
23,"Acuicultura",2019,2536382.8816
23,"Alojamiento",2019,150198.3216
24,"Alojamiento",2019,0
25,"Alojamiento",2019,271434.3104
26,"Alojamiento",2019,2919772.088
26,"Pesca",2019,5062422.7152
27,"Alojamiento",2019,3263034.4944
27,"Turismo",2019,0
28,"Acuicultura",2019,6783282.0016
28,"Alojamiento",2019,1983090.2848
28,"Pesca",2019,20439370.8064
29,"Alojamiento",2019,374852.2016
29,"Pesca",2019,455610553.1328
30,"Alojamiento",2019,141847.9008
30,"Pesca",2019,595130.1248
31,"Acuicultura",2019,12583039.2752
33,"Acuicultura",2019,36500291.3312
33,"Alojamiento",2019,499089.72
33,"Pesca",2019,622542.6864
33,"Transporte",2019,0
34,"El Quisco",2019,722959.048
34,"Alojamiento",2019,722959.048
35,"Alojamiento",2019,579665.6832
36,"Alojamiento",2019,0
38,"Alojamiento",2019,0
39,"Acuicultura",2019,2632662.024
39,"Alojamiento",2019,396232.9296
39,"Pesca",2019,132772.2752
42,"Alojamiento",2019,735960.1312
43,"Alojamiento",2019,5137373.7328
43,"Pesca",2019,1403710.5472
43,"Turismo",2019,2228517.9328
44,"Alojamiento",2019,226068.7712
46,"Alojamiento",2019,5322813.9504
46,"Turismo",2019,1800651.5968
47,"Alojamiento",2019,534185.496
49,"Pesca",2019,29997055.2784
50,"Alojamiento",2019,1558942.5904
54,"Alojamiento",2019,3157147.8496
54,"Pesca",2019,3511.376
55,"Pesca",2019,60773562.2944
56,"Alojamiento",2019,2972908.5136
57,"Acuicultura",2019,0
57,"Pesca",2019,0
58,"Alojamiento",2019,1492614.4512
59,"Acuicultura",2019,14376251.3408
59,"Alojamiento",2019,5687473.2704
59,"Pesca",2019,16795773.2912
59,"Transporte",2019,0
59,"Turismo",2019,12491560.512
60,"Alojamiento",2019,320237.9408
61,"Alojamiento",2019,259853.9632
61,"Pesca",2019,5255401.376
64,"Alojamiento",2019,690178.2624
64,"Pesca",2019,180834.0656
66,"Alojamiento",2019,2392279.3376
67,"Alojamiento",2019,1806220.792
67,"Pesca",2019,1207427.3264
69,"Alojamiento",2019,195628.6032
70,"Acuicultura",2019,7711995460.3744
70,"Alojamiento",2019,6916473.7536
70,"Pesca",2019,228413164.0912
70,"Transporte",2019,608744773.0736
70,"Turismo",2019,5363460.488
71,"Acuicultura",2019,131415964.1824
71,"Alojamiento",2019,6960179.3696
71,"Transporte",2019,32871237.9264
71,"Turismo",2019,8663241.24
72,"Acuicultura",2019,8331038.544
72,"Alojamiento",2019,45058851.304
72,"Pesca",2019,89647841.384
72,"Transporte",2019,0
72,"Turismo",2019,8111604.52
73,"Acuicultura",2019,0
73,"Alojamiento",2019,0
75,"Acuicultura",2019,2029300.1728
75,"Pesca",2019,1944830.224
76,"Acuicultura",2019,475594417.9936
76,"Alojamiento",2019,738690.552
76,"Pesca",2019,42887973.8896
76,"Transporte",2019,9704763.4688
78,"Acuicultura",2019,5991688.816
78,"Transporte",2019,0
79,"Alojamiento",2019,1616548.04
79,"Pesca",2019,214141.3328
83,"Alojamiento",2019,351209.536
83,"Pesca",2019,75892339.7248
85,"Alojamiento",2019,81206.752
86,"Alojamiento",2019,6731506.0656
86,"Turismo",2019,7136237.3344
88,"Alojamiento",2019,263577.5504
88,"Pesca",2019,145037479.6464
89,"Alojamiento",2019,254059.5184
89,"Pesca",2019,0
92,"Alojamiento",2019,52800.1248
93,"Acuicultura",2019,0
93,"Alojamiento",2019,0
94,"Pesca",2019,422780.0112
95,"Alojamiento",2019,309872.8624
95,"Pesca",2019,0
99,"Acuicultura",2019,0
99,"Alojamiento",2019,10588206.7872
99,"Pesca",2019,10363877.0688
99,"Transporte",2019,13042533.1728
99,"Turismo",2019,519043.4176
100,"Alojamiento",2019,4322170.2528
100,"Pesca",2019,1612158.1456
100,"Transporte",2019,210759554
100,"Turismo",2019,5954778.4544
102,"Alojamiento",2019,6272801.6656
102,"Turismo",2019,24412382.5984
1,"Alojamiento",2020,216133.5104
2,"Acuicultura",2020,23900229.7504
2,"Alojamiento",2020,965396.856
2,"Pesca",2020,7147094.7248
3,"Alojamiento",2020,12828701.6144
3,"Turismo",2020,429660.24
4,"Alojamiento",2020,4352206.68
4,"Pesca",2020,856951.5376
5,"Alojamiento",2020,981776.6832
5,"Pesca",2020,32608857.2112
5,"Turismo",2020,758075.5056
6,"Acuicultura",2020,16594093.072
6,"Alojamiento",2020,987753.6656
6,"Pesca",2020,2746565.936
6,"Transporte",2020,13286721.7232
6,"Turismo",2020,161860.496
7,"Pesca",2020,2103768.7696
8,"Acuicultura",2020,98860220.4672
8,"Alojamiento",2020,590323.0016
8,"Pesca",2020,720257.4016
8,"Transporte",2020,3452977.456
9,"Acuicultura",2020,4966203.3696
9,"Alojamiento",2020,262398.6992
9,"Pesca",2020,8061316.3104
12,"Alojamiento",2020,186656.3856
14,"Alojamiento",2020,454626.9776
15,"Alojamiento",2020,0
15,"Pesca",2020,0
16,"Acuicultura",2020,46373143.6048
16,"Alojamiento",2020,1056501.1024
16,"Transporte",2020,18173626.8928
16,"Turismo",2020,117243.0912
17,"Alojamiento",2020,565565.328
18,"Alojamiento",2020,0
20,"Acuicultura",2020,607474885.9664
20,"Alojamiento",2020,133758.248
21,"Acuicultura",2020,10254415.6544
21,"Alojamiento",2020,905141.464
21,"Pesca",2020,0
23,"Acuicultura",2020,2589439.2784
23,"Alojamiento",2020,152981.3456
24,"Alojamiento",2020,776651.6288
25,"Alojamiento",2020,0
26,"Alojamiento",2020,2370725.064
26,"Pesca",2020,2732074.8784
27,"Alojamiento",2020,5956968.9056
27,"Turismo",2020,0
28,"Acuicultura",2020,3498373.568
28,"Alojamiento",2020,1900064.9008
28,"Pesca",2020,22499732.4944
29,"Alojamiento",2020,495462.7968
29,"Pesca",2020,500307145.5312
30,"Alojamiento",2020,103187.696
30,"Pesca",2020,0
31,"Acuicultura",2020,13518245.9408
33,"Acuicultura",2020,16906307.9008
33,"Alojamiento",2020,212631.576
33,"Pesca",2020,0
33,"Transporte",2020,5762114.064
34,"El Quisco",2020,802493.7376
34,"Alojamiento",2020,802493.7376
35,"Alojamiento",2020,205513.5088
36,"Alojamiento",2020,0
38,"Alojamiento",2020,0
39,"Acuicultura",2020,3431260.4272
39,"Alojamiento",2020,522368.2096
39,"Pesca",2020,308283.976
42,"Alojamiento",2020,0
43,"Alojamiento",2020,9092940.1456
43,"Pesca",2020,1238017.6608
43,"Turismo",2020,668223.3952
44,"Alojamiento",2020,83544.672
46,"Alojamiento",2020,2496877.8784
46,"Turismo",2020,695193.5504
47,"Alojamiento",2020,316420.8368
49,"Pesca",2020,25551845.6912
50,"Alojamiento",2020,1379078.312
54,"Alojamiento",2020,3213199.4816
54,"Pesca",2020,9651.1136
55,"Pesca",2020,170372329.4944
56,"Alojamiento",2020,1591610.976
57,"Acuicultura",2020,0
57,"Pesca",2020,0
58,"Alojamiento",2020,954569.5888
59,"Acuicultura",2020,22071032.6
59,"Alojamiento",2020,3327307.0624
59,"Pesca",2020,16097568.7696
59,"Transporte",2020,8914869.7712
