"rgn_id","habitat","year","area_km2"
97,"Macrocystis",2017,14.6472385214015
97,"Bosques y matorrales",2017,5013.35
97,"Marismas y humedales",2017,1512
97,"Playas y dunas",2017,11.13
98,"Macrocystis",2017,0.00128420603872069
98,"Bosques y matorrales",2017,5.48
98,"Marismas y humedales",2017,0.19
98,"Playas y dunas",2017,0.64
99,"Macrocystis",2017,0.144229077301676
99,"Bosques y matorrales",2017,51.84
99,"Marismas y humedales",2017,0.19
99,"Playas y dunas",2017,0.37
100,"Macrocystis",2017,0.00648886958817488
100,"Bosques y matorrales",2017,22.94
100,"Marismas y humedales",2017,5.8
100,"Playas y dunas",2017,0.7
101,"Macrocystis",2017,0.0352950800950401
101,"Bosques y matorrales",2017,28.49
101,"Marismas y humedales",2017,9.9
101,"Playas y dunas",2017,1.95
102,"Macrocystis",2017,0.00566655556132016
102,"Bosques y matorrales",2017,2.9
102,"Marismas y humedales",2017,7.79
102,"Playas y dunas",2017,0.24
103,"Macrocystis",2017,0.006576463072102
103,"Bosques y matorrales",2017,11.64
103,"Marismas y humedales",2017,4.5
103,"Playas y dunas",2017,1.2
1,"Macrocystis",2018,0.00687069037726187
1,"Bosques y matorrales",2018,7.6
1,"Marismas y humedales",2018,1
1,"Playas y dunas",2018,1.75
2,"Macrocystis",2018,1.07514419230437
2,"Bosques y matorrales",2018,194.25
2,"Marismas y humedales",2018,3.46
2,"Playas y dunas",2018,3.11
3,"Macrocystis",2018,0.0529734537768037
3,"Bosques y matorrales",2018,0.111
3,"Marismas y humedales",2018,8.97
3,"Playas y dunas",2018,311.14
4,"Macrocystis",2018,0.384832946320402
4,"Bosques y matorrales",2018,98.11
4,"Marismas y humedales",2018,7.8
4,"Playas y dunas",2018,1.3
5,"Macrocystis",2018,0.0143466124816302
5,"Bosques y matorrales",2018,1.036
5,"Marismas y humedales",2018,0.52
5,"Playas y dunas",2018,94.04
6,"Macrocystis",2018,22.1618318110455
6,"Bosques y matorrales",2018,5911.825
6,"Marismas y humedales",2018,359.84
6,"Playas y dunas",2018,13.645
7,"Macrocystis",2018,183.394347237516
7,"Bosques y matorrales",2018,2001
7,"Marismas y humedales",2018,867.105
7,"Playas y dunas",2018,39.325
8,"Macrocystis",2018,0.593129568683645
8,"Bosques y matorrales",2018,171.335
8,"Marismas y humedales",2018,1.35
8,"Playas y dunas",2018,0.845
9,"Macrocystis",2018,0.0744079880632679
9,"Bosques y matorrales",2018,0.561
9,"Marismas y humedales",2018,7.4
9,"Playas y dunas",2018,357.6
10,"Macrocystis",2018,0.00410614557262713
10,"Bosques y matorrales",2018,0.73
10,"Marismas y humedales",2018,0.7
10,"Playas y dunas",2018,88.2
11,"Macrocystis",2018,0.115564249966768
11,"Bosques y matorrales",2018,13.12
11,"Marismas y humedales",2018,81.9
11,"Playas y dunas",2018,15.7
12,"Macrocystis",2018,0.00443208681252344
12,"Bosques y matorrales",2018,31.93
12,"Marismas y humedales",2018,3.7
12,"Playas y dunas",2018,5.67
13,"Macrocystis",2018,0.00633380297358563
13,"Bosques y matorrales",2018,9.36
13,"Marismas y humedales",2018,0.17
13,"Playas y dunas",2018,0.01
14,"Macrocystis",2018,0.000450822289338328
14,"Bosques y matorrales",2018,1.08
14,"Marismas y humedales",2018,0.81
14,"Playas y dunas",2018,0.19
15,"Macrocystis",2018,0.00246719703797518
15,"Bosques y matorrales",2018,16.59
15,"Marismas y humedales",2018,7.6
15,"Playas y dunas",2018,0.76
16,"Macrocystis",2018,0.985849598144313
16,"Bosques y matorrales",2018,85.48
16,"Marismas y humedales",2018,0.445
16,"Playas y dunas",2018,0.03
17,"Macrocystis",2018,3.21315367607689
17,"Bosques y matorrales",2018,482.09
17,"Marismas y humedales",2018,4.895
17,"Playas y dunas",2018,7.9
18,"Macrocystis",2018,0.00885137364971372
18,"Bosques y matorrales",2018,0.98
18,"Marismas y humedales",2018,4.7
18,"Playas y dunas",2018,164.15
19,"Macrocystis",2018,0.0154542758866938
19,"Bosques y matorrales",2018,21.93
19,"Marismas y humedales",2018,7.57
19,"Playas y dunas",2018,2.58
20,"Macrocystis",2018,0.145372179627066
20,"Bosques y matorrales",2018,82.62
20,"Marismas y humedales",2018,1.185
20,"Playas y dunas",2018,4.775
21,"Macrocystis",2018,18.1968291317395
21,"Bosques y matorrales",2018,3733.16
21,"Marismas y humedales",2018,106.24
21,"Playas y dunas",2018,1.49
22,"Macrocystis",2018,0.0387501742080484
22,"Bosques y matorrales",2018,47.72
22,"Marismas y humedales",2018,5.17
22,"Playas y dunas",2018,3.03
23,"Macrocystis",2018,0.0866139803044153
23,"Bosques y matorrales",2018,164.405
23,"Marismas y humedales",2018,0.175
23,"Playas y dunas",2018,0.725
24,"Macrocystis",2018,0.00458400076200615
24,"Bosques y matorrales",2018,2.21
24,"Marismas y humedales",2018,0.58
24,"Playas y dunas",2018,0.47
25,"Macrocystis",2018,0
25,"Bosques y matorrales",2018,1.37
25,"Marismas y humedales",2018,0.73
25,"Playas y dunas",2018,6.4
26,"Macrocystis",2018,0.01767225785083
26,"Bosques y matorrales",2018,62.22
26,"Marismas y humedales",2018,12.07
26,"Playas y dunas",2018,20.54
27,"Macrocystis",2018,0.0495825235805964
27,"Bosques y matorrales",2018,3.73
27,"Marismas y humedales",2018,0
27,"Playas y dunas",2018,102.85
28,"Macrocystis",2018,0.016229105431493
28,"Bosques y matorrales",2018,29.58
28,"Marismas y humedales",2018,75.5
28,"Playas y dunas",2018,30.9
29,"Macrocystis",2018,0.496019662721684
29,"Bosques y matorrales",2018,9.26
29,"Marismas y humedales",2018,17.56
