"rgn_id","specie","trend"
8,"Cygnus melancoryphus","Decreciendo"
8,"Desmophyllum dianthus","Decreciendo"
8,"Diomedea exulans","Estable"
8,"Ensis macha","Estable"
8,"Falco peregrinus","Estable"
8,"Genypterus blacodes","Creciendo"
8,"Concholepas concholepas","Decreciendo"
8,"Haematopus palliatus","Estable"
8,"Heterocarpus reedi","Estable"
8,"Lagenorhynchus australis","Estable"
8,"Lagenorhynchus obscurus","Estable"
8,"Leucocarbo bougainvillii","Estable"
8,"Leucophaeus modestus","Decreciendo"
8,"Leucophaeus pipixcan","Decreciendo"
8,"Macronectes giganteus","Decreciendo"
8,"Mulinia edulis","Estable"
8,"Mytilus chilensis","Estable"
8,"Numenius phaeopus","Estable"
8,"Ostrea chilensis","Decreciendo"
8,"Pelecanus thagus","Creciendo"
8,"Phalacrocorax gaimardi","Decreciendo"
8,"Phoenicopterus chilensis","Estable"
8,"Puffinus creatopus","Decreciendo"
8,"Puffinus griseus","Decreciendo"
8,"Spheniscus humboldti","Estable"
8,"Sula variegata","Decreciendo"
8,"Tachyeres patachonicus","Estable"
8,"Tachyeres pteneres","Decreciendo"
8,"Tagelus dombeii","Decreciendo"
8,"Tawera elliptica","Decreciendo"
8,"Thalassarche melanophris","Estable"
8,"Thalasseus elegans","Estable"
8,"Tringa flavipes","Estable"
9,"Argopecten purpuratus","Estable"
9,"Aulacomya atra","Estable"
9,"Charadrius collaris","Decreciendo"
9,"Charadrius modestus","Decreciendo"
9,"Charadrius nivosus","Decreciendo"
9,"Chelonia mydas","Decreciendo"
9,"Chroicocephalus serranus","Decreciendo"
9,"Concholepas concholepas","Decreciendo"
9,"Coscoroba coscoroba","Decreciendo"
9,"Falco peregrinus","Estable"
9,"Haematopus palliatus","Estable"
9,"Larosterna inca","Estable"
9,"Leucocarbo bougainvillii","Estable"
9,"Leucophaeus modestus","Decreciendo"
9,"Leucophaeus pipixcan","Decreciendo"
9,"Mirounga leonina","Creciendo"
9,"Numenius phaeopus","Estable"
9,"Otaria byronia","Estable"
9,"Pandion haliaetus","Estable"
9,"Pelecanoides garnotii","Creciendo"
9,"Pelecanus thagus","Creciendo"
9,"Phalacrocorax gaimardi","Decreciendo"
9,"Phoenicopterus chilensis","Estable"
9,"Recurvirostra andina","Decreciendo"
9,"Spheniscus humboldti","Estable"
9,"Sula variegata","Decreciendo"
9,"Thalasseus elegans","Estable"
9,"Tringa flavipes","Estable"
10,"Chroicocephalus serranus","Decreciendo"
10,"Cryphiops caementarius","Estable"
10,"Falco peregrinus","Estable"
10,"Geranoaetus melanoleucus","Estable"
10,"Haematopus palliatus","Estable"
10,"Larosterna inca","Estable"
10,"Leucocarbo bougainvillii","Estable"
10,"Leucophaeus modestus","Decreciendo"
10,"Leucophaeus pipixcan","Decreciendo"
10,"Macronectes giganteus","Decreciendo"
10,"Numenius phaeopus","Estable"
10,"Pelecanus thagus","Creciendo"
10,"Phalacrocorax gaimardi","Decreciendo"
10,"Phoenicopterus chilensis","Estable"
10,"Puffinus griseus","Decreciendo"
10,"Spheniscus humboldti","Estable"
10,"Sula variegata","Decreciendo"
10,"Thalasseus elegans","Estable"
10,"Tringa flavipes","Estable"
11,"Argopecten purpuratus","Estable"
11,"Charadrius collaris","Decreciendo"
11,"Charadrius modestus","Decreciendo"
11,"Charadrius nivosus","Decreciendo"
11,"Chroicocephalus serranus","Decreciendo"
11,"Coscoroba coscoroba","Decreciendo"
11,"Cygnus melancoryphus","Decreciendo"
11,"Falco peregrinus","Estable"
11,"Geranoaetus melanoleucus","Estable"
11,"Haematopus palliatus","Estable"
11,"Heteronetta atricapilla","Estable"
11,"Laterallus jamaicensis","Estable"
11,"Leucocarbo bougainvillii","Estable"
11,"Leucophaeus modestus","Decreciendo"
11,"Leucophaeus pipixcan","Decreciendo"
11,"Macronectes giganteus","Decreciendo"
11,"Numenius phaeopus","Estable"
11,"Pelecanus thagus","Creciendo"
11,"Phalacrocorax gaimardi","Decreciendo"
11,"Plegadis chihi","Decreciendo"
11,"Puffinus griseus","Decreciendo"
11,"Sula variegata","Decreciendo"
11,"Thalassarche melanophris","Estable"
11,"Thalasseus elegans","Estable"
11,"Tringa flavipes","Estable"
11,"Vultur gryphus","Estable"
12,"Coscoroba coscoroba","Decreciendo"
12,"Cygnus melancoryphus","Decreciendo"
12,"Leucocarbo bougainvillii","Estable"
12,"Leucophaeus pipixcan","Decreciendo"
12,"Phoenicopterus chilensis","Estable"
13,"Charadrius collaris","Decreciendo"
13,"Charadrius modestus","Decreciendo"
13,"Charadrius nivosus","Decreciendo"
13,"Coscoroba coscoroba","Decreciendo"
13,"Cygnus melancoryphus","Decreciendo"
13,"Diomedea epomophora","Decreciendo"
13,"Diomedea exulans","Estable"
13,"Falco peregrinus","Estable"
