"rgn_id","spp","catch","year"
3,"ALBACORA O PEZ ESPADA / IVI HEHEU",641,2015
3,"CONGRIO NEGRO",10,2014
3,"CONGRIO COLORADO",1,2019
3,"CONGRIO NEGRO",1,2012
3,"CONGRIO NEGRO",2,2013
3,"ALMEJA",39,2012
3,"ALMEJA",43,2013
3,"ALMEJA",27,2014
3,"ALBACORA O PEZ ESPADA",376,2012
3,"ALBACORA O PEZ ESPADA",389,2013
3,"ALBACORA O PEZ ESPADA / IVI HEHEU",423,2014
3,"ALMEJA",3,2018
3,"ALMEJA",19,2019
3,"ALMEJA",3,2021
3,"ANCHOVETA",10,2012
3,"CONGRIO NEGRO",5,2015
3,"CONGRIO NEGRO",1,2016
3,"ALBACORA O PEZ ESPADA / IVI HEHEU",994,2021
3,"ANCHOVETA",740,2016
3,"ANCHOVETA",2,2017
3,"ANCHOVETA",29,2018
3,"ALMEJA",15,2015
3,"ALMEJA",16,2016
3,"ALMEJA",7,2017
3,"ANCHOVETA BLANCA",1,2018
3,"ANCHOVETA BLANCA",2,2019
3,"APAÑADO",4,2012
3,"APAÑADO",1,2013
3,"APAÑADO",5,2014
3,"APAÑADO",4,2015
3,"ATUN ALETA AMARILLA / KAHI AVE AVE",2,2015
3,"ATUN ALETA AMARILLA / KAHI AVE AVE",1,2016
3,"ATUN ALETA AMARILLA / KAHI AVE AVE",1,2019
3,"ATUN OJOS GRANDES",1,2012
3,"AZULEJO",5,2012
3,"AZULEJO",3,2013
3,"AZULEJO",14,2014
3,"AZULEJO",8,2015
3,"AZULEJO",1,2016
3,"BACALAO DE PROFUNDIDAD",4,2012
3,"BACALAO DE PROFUNDIDAD",4,2013
3,"BACALAO DE PROFUNDIDAD",13,2015
3,"BACALAO DE PROFUNDIDAD",18,2016
3,"BACALAO DE PROFUNDIDAD",16,2017
3,"BACALAO DE PROFUNDIDAD",3,2018
3,"BACALAO DE PROFUNDIDAD",3,2019
3,"BACALAO DE PROFUNDIDAD",5,2020
3,"BACALAO DE PROFUNDIDAD",10,2021
3,"BONITO",11,2012
3,"BONITO",1,2013
3,"BONITO",13,2014
3,"BONITO",19,2015
3,"BONITO",8,2016
3,"BONITO",18,2017
3,"BONITO",15,2018
3,"ANCHOVETA",7,2013
3,"ANCHOVETA",4,2014
3,"ANCHOVETA",16,2015
3,"PELILLO",26,2019
3,"PEPINO DE MAR",4,2013
3,"PESCADO NO CLASIFICADO",2,2013
3,"ANCHOVETA",11,2019
3,"ANCHOVETA",24,2020
3,"ANCHOVETA",76,2021
3,"CHORO",6,2021
3,"COJINOBA DEL NORTE",22,2012
3,"COJINOBA DEL NORTE",88,2013
3,"COJINOBA DEL NORTE / PIAFRI",54,2014
