"rgn_id","Sector","year","jobs"
46,"Acuicultura","2018",125
46,"Alojamiento","2018",350
46,"Pesca","2018",75
46,"Transporte","2018",1
46,"Turismo","2018",108
47,"Acuicultura","2018",141
47,"Alojamiento","2018",38
47,"Transporte","2018",1
47,"Turismo","2018",1
48,"Alojamiento","2018",1
49,"Alojamiento","2018",14
49,"Pesca","2018",311
49,"Transporte","2018",14
49,"Turismo","2018",1
50,"Alojamiento","2018",55
50,"Pesca","2018",4
50,"Turismo","2018",0
51,"Alojamiento","2018",16
51,"Turismo","2018",3
52,"Alojamiento","2018",16
53,"Acuicultura","2018",0
53,"Alojamiento","2018",7
53,"Pesca","2018",1
53,"Transporte","2018",0
53,"Turismo","2018",0
54,"Acuicultura","2018",4
54,"Alojamiento","2018",57
54,"Pesca","2018",18
54,"Turismo","2018",1
55,"Acuicultura","2018",44
55,"Alojamiento","2018",14
55,"Pesca","2018",1432
55,"Transporte","2018",155
56,"Acuicultura","2018",1
56,"Alojamiento","2018",65
56,"Pesca","2018",7
56,"Transporte","2018",33
56,"Turismo","2018",1
57,"Acuicultura","2018",259
57,"Alojamiento","2018",5
57,"Pesca","2018",64
57,"Transporte","2018",0
57,"Turismo","2018",1
58,"Acuicultura","2018",34
58,"Alojamiento","2018",36
58,"Pesca","2018",194
58,"Transporte","2018",1
59,"Acuicultura","2018",1657
59,"Alojamiento","2018",330
59,"Pesca","2018",566
59,"Transporte","2018",177
59,"Turismo","2018",770
60,"Alojamiento","2018",29
60,"Pesca","2018",5
60,"Turismo","2018",14
61,"Acuicultura","2018",34
61,"Alojamiento","2018",58
61,"Pesca","2018",64
61,"Transporte","2018",1
61,"Turismo","2018",2
62,"Alojamiento","2018",10
62,"Pesca","2018",89
62,"Transporte","2018",0
62,"Turismo","2018",4
63,"Acuicultura","2018",2
63,"Alojamiento","2018",0
63,"Pesca","2018",7
64,"Alojamiento","2018",34
64,"Pesca","2018",11
64,"Transporte","2018",1
64,"Turismo","2018",3
65,"Acuicultura","2018",17
65,"Alojamiento","2018",1
65,"Pesca","2018",62
65,"Transporte","2018",42
66,"Acuicultura","2018",0
66,"Alojamiento","2018",130
66,"Pesca","2018",21
66,"Turismo","2018",3
67,"Acuicultura","2018",1338
67,"Alojamiento","2018",58
67,"Pesca","2018",742
67,"Transporte","2018",146
67,"Turismo","2018",13
68,"Alojamiento","2018",41
69,"Acuicultura","2018",0
69,"Alojamiento","2018",17
69,"Pesca","2018",11
69,"Turismo","2018",1
70,"Acuicultura","2018",31215
70,"Alojamiento","2018",320
70,"Pesca","2018",6819
70,"Transporte","2018",8470
71,"Acuicultura","2018",3994
71,"Alojamiento","2018",130
71,"Pesca","2018",1189
71,"Transporte","2018",203
71,"Turismo","2018",309
72,"Acuicultura","2018",926
72,"Alojamiento","2018",324
72,"Pesca","2018",2738
72,"Transporte","2018",971
72,"Turismo","2018",479
73,"Acuicultura","2018",208
73,"Alojamiento","2018",4
73,"Pesca","2018",6
73,"Transporte","2018",22
74,"Acuicultura","2018",0
74,"Alojamiento","2018",16
74,"Transporte","2018",2
74,"Turismo","2018",0
75,"Acuicultura","2018",57
75,"Alojamiento","2018",4
75,"Pesca","2018",53
75,"Transporte","2018",10
75,"Turismo","2018",1
76,"Acuicultura","2018",1117
76,"Alojamiento","2018",135
76,"Pesca","2018",1135
76,"Transporte","2018",318
76,"Turismo","2018",3
77,"Acuicultura","2018",232
77,"Alojamiento","2018",4
