"rgn_id","year","habitat","km2"
54,"2021","Kelp forest",133.063572423041
55,"2021","Kelp forest",42.6260608292066
56,"2021","Kelp forest",46.959012676356
57,"2021","Kelp forest",649.37279305329
58,"2021","Kelp forest",6.98395260193858
59,"2021","Kelp forest",3177297.82605869
60,"2021","Kelp forest",4.25777903719308
61,"2021","Kelp forest",79.3748845816318
62,"2021","Kelp forest",2.82593413728886
63,"2021","Kelp forest",3.30712815982326
64,"2021","Kelp forest",20.7815135052423
65,"2021","Kelp forest",54.9958213797198
66,"2021","Kelp forest",29.7051255760461
67,"2021","Kelp forest",5392.27632702249
68,"2021","Kelp forest",2707.04038087259
69,"2021","Kelp forest",11.4557814092934
70,"2021","Kelp forest",136.797301686153
71,"2021","Kelp forest",
72,"2021","Kelp forest",2687957.02139157
73,"2021","Kelp forest",79.5786704214663
74,"2021","Kelp forest",104.963460442791
75,"2021","Kelp forest",5148.96212104946
76,"2021","Kelp forest",39345.4033360374
77,"2021","Kelp forest",1255.47418493053
78,"2021","Kelp forest",1509.61698286586
79,"2021","Kelp forest",1.34426019597883
80,"2021","Kelp forest",19.9414991136409
81,"2021","Kelp forest",80274.0268889133
82,"2021","Kelp forest",9.41700958240784
83,"2021","Kelp forest",0.13784550529708
84,"2021","Kelp forest",961.798091258726
85,"2021","Kelp forest",227.437981331642
86,"2021","Kelp forest",2.09757673843126
87,"2021","Kelp forest",4.05721556248622
88,"2021","Kelp forest",10.6587859756101
89,"2021","Kelp forest",1885.88251099581
90,"2021","Kelp forest",20.998773798611
91,"2021","Kelp forest",23375.0737502512
92,"2021","Kelp forest",632.121772362462
93,"2021","Kelp forest",146.754555248664
94,"2021","Kelp forest",6.46838830941884
95,"2021","Kelp forest",98.9851325549557
96,"2021","Kelp forest",25.0845892387115
97,"2021","Kelp forest",232091.02100431
98,"2021","Kelp forest",0.125474704251592
99,"2021","Kelp forest",121.080965384215
100,"2021","Kelp forest",0.770614711795331
101,"2021","Kelp forest",12.9418441954003
102,"2021","Kelp forest",1.51700568797023
103,"2021","Kelp forest",1.71373112945364
1,"2017","Seagrass",0.99147
2,"2017","Seagrass",
3,"2017","Seagrass",0.543561
4,"2017","Seagrass",197.579113
5,"2017","Seagrass",1.124712
6,"2017","Seagrass",
7,"2017","Seagrass",
8,"2017","Seagrass",
9,"2017","Seagrass",397.796478
10,"2017","Seagrass",2.574364
11,"2017","Seagrass",64.527413
12,"2017","Seagrass",
13,"2017","Seagrass",25.166427
14,"2017","Seagrass",
15,"2017","Seagrass",72.606888
16,"2017","Seagrass",
17,"2017","Seagrass",
18,"2017","Seagrass",1.051839
19,"2017","Seagrass",
20,"2017","Seagrass",
21,"2017","Seagrass",
22,"2017","Seagrass",
23,"2017","Seagrass",
24,"2017","Seagrass",
25,"2017","Seagrass",30.88813
26,"2017","Seagrass",0.484653
27,"2017","Seagrass",
28,"2017","Seagrass",73.382822
29,"2017","Seagrass",0.110832
30,"2017","Seagrass",
31,"2017","Seagrass",
32,"2017","Seagrass",
33,"2017","Seagrass",
34,"2017","Seagrass",
35,"2017","Seagrass",
36,"2017","Seagrass",4.07029
37,"2017","Seagrass",
38,"2017","Seagrass",
39,"2017","Seagrass",
40,"2017","Seagrass",
41,"2017","Seagrass",
42,"2017","Seagrass",3.818083
43,"2017","Seagrass",583.665861
44,"2017","Seagrass",
45,"2017","Seagrass",
46,"2017","Seagrass",
47,"2017","Seagrass",
48,"2017","Seagrass",
49,"2017","Seagrass",
50,"2017","Seagrass",
51,"2017","Seagrass",
52,"2017","Seagrass",
53,"2017","Seagrass",
54,"2017","Seagrass",27.252433
55,"2017","Seagrass",72.383846
56,"2017","Seagrass",
57,"2017","Seagrass",
58,"2017","Seagrass",298.6074
59,"2017","Seagrass",
60,"2017","Seagrass",
61,"2017","Seagrass",
62,"2017","Seagrass",42.507808
63,"2017","Seagrass",
64,"2017","Seagrass",
65,"2017","Seagrass",
66,"2017","Seagrass",
67,"2017","Seagrass",
68,"2017","Seagrass",
69,"2017","Seagrass",135.461517
70,"2017","Seagrass",
71,"2017","Seagrass",
72,"2017","Seagrass",
73,"2017","Seagrass",
74,"2017","Seagrass",
75,"2017","Seagrass",
76,"2017","Seagrass",
77,"2017","Seagrass",
78,"2017","Seagrass",
79,"2017","Seagrass",97.040786
80,"2017","Seagrass",
81,"2017","Seagrass",
82,"2017","Seagrass",5.944056
83,"2017","Seagrass",
84,"2017","Seagrass",
85,"2017","Seagrass",
86,"2017","Seagrass",
87,"2017","Seagrass",
88,"2017","Seagrass",
89,"2017","Seagrass",183.99116
90,"2017","Seagrass",0.462651
91,"2017","Seagrass",
92,"2017","Seagrass",
93,"2017","Seagrass",4.333884
94,"2017","Seagrass",
95,"2017","Seagrass",
96,"2017","Seagrass",
97,"2017","Seagrass",
98,"2017","Seagrass",
99,"2017","Seagrass",
100,"2017","Seagrass",71.232532
101,"2017","Seagrass",
102,"2017","Seagrass",132.676018
103,"2017","Seagrass",127.967761
1,"2018","Seagrass",0.97913323564
2,"2018","Seagrass",
3,"2018","Seagrass",0.53679715999
4,"2018","Seagrass",195.120593538
5,"2018","Seagrass",1.1107168385
6,"2018","Seagrass",
7,"2018","Seagrass",
8,"2018","Seagrass",
9,"2018","Seagrass",392.846610634
10,"2018","Seagrass",2.54233077767
11,"2018","Seagrass",63.7244847565
12,"2018","Seagrass",
13,"2018","Seagrass",24.8532762014
14,"2018","Seagrass",
15,"2018","Seagrass",71.7034252726
16,"2018","Seagrass",
17,"2018","Seagrass",
18,"2018","Seagrass",1.03875113404
19,"2018","Seagrass",
20,"2018","Seagrass",
21,"2018","Seagrass",
22,"2018","Seagrass",
23,"2018","Seagrass",
24,"2018","Seagrass",
25,"2018","Seagrass",30.5037824734
26,"2018","Seagrass",0.47862266636
27,"2018","Seagrass",
28,"2018","Seagrass",72.4697039425
29,"2018","Seagrass",0.10945257317
30,"2018","Seagrass",
31,"2018","Seagrass",
32,"2018","Seagrass",
33,"2018","Seagrass",
34,"2018","Seagrass",
35,"2018","Seagrass",
36,"2018","Seagrass",4.01964262012
37,"2018","Seagrass",
38,"2018","Seagrass",
39,"2018","Seagrass",
40,"2018","Seagrass",
41,"2018","Seagrass",
42,"2018","Seagrass",3.77057412397
43,"2018","Seagrass",576.403180632
44,"2018","Seagrass",
45,"2018","Seagrass",
46,"2018","Seagrass",
47,"2018","Seagrass",
48,"2018","Seagrass",
49,"2018","Seagrass",
50,"2018","Seagrass",
51,"2018","Seagrass",
52,"2018","Seagrass",
53,"2018","Seagrass",
54,"2018","Seagrass",26.9133255886
55,"2018","Seagrass",71.4831583106
56,"2018","Seagrass",
57,"2018","Seagrass",
58,"2018","Seagrass",294.891763944
59,"2018","Seagrass",
60,"2018","Seagrass",
61,"2018","Seagrass",
