"rgn_id","Sector","year","gdp_usd"
43,"Acuicultura","2018",
43,"Alojamiento","2018",5475079.0832
43,"Pesca","2018",1132715.0464
43,"Transporte","2018",
43,"Turismo","2018",2036870.5376
44,"Acuicultura","2018",
44,"Alojamiento","2018",317321.8352
44,"Pesca","2018",
44,"Turismo","2018",
45,"Acuicultura","2018",
45,"Alojamiento","2018",
45,"Pesca","2018",
45,"Turismo","2018",
46,"Acuicultura","2018",
46,"Alojamiento","2018",5080990.296
46,"Pesca","2018",
46,"Transporte","2018",
46,"Turismo","2018",3311297.256
47,"Acuicultura","2018",
47,"Alojamiento","2018",1049543.992
47,"Pesca","2018",
47,"Transporte","2018",
47,"Turismo","2018",
48,"Alojamiento","2018",
49,"Acuicultura","2018",
49,"Alojamiento","2018",
49,"Pesca","2018",43449134.0368
49,"Transporte","2018",
49,"Turismo","2018",
50,"Alojamiento","2018",1447905.328
50,"Pesca","2018",
50,"Turismo","2018",
51,"Alojamiento","2018",
51,"Turismo","2018",
52,"Alojamiento","2018",
52,"Pesca","2018",
52,"Turismo","2018",
53,"Acuicultura","2018",
53,"Alojamiento","2018",
53,"Pesca","2018",
53,"Transporte","2018",
53,"Turismo","2018",
54,"Acuicultura","2018",
54,"Alojamiento","2018",1425395.6544
54,"Pesca","2018",9909.184
54,"Transporte","2018",
54,"Turismo","2018",
55,"Acuicultura","2018",
55,"Alojamiento","2018",
55,"Pesca","2018",47025990.68
55,"Transporte","2018",
55,"Turismo","2018",
57,"Acuicultura","2018",0
56,"Alojamiento","2018",1398577.9136
56,"Pesca","2018",
56,"Transporte","2018",
56,"Turismo","2018",
57,"Acuicultura","2018",0
57,"Alojamiento","2018",
57,"Pesca","2018",1086854.4976
57,"Transporte","2018",
57,"Turismo","2018",
58,"Acuicultura","2018",
58,"Alojamiento","2018",1696489.168
58,"Pesca","2018",
58,"Transporte","2018",
59,"Acuicultura","2018",31653779.5744
59,"Alojamiento","2018",5352364.8096
59,"Pesca","2018",15139345.7312
59,"Transporte","2018",0
59,"Turismo","2018",9398089.5104
60,"Acuicultura","2018",
60,"Alojamiento","2018",266286.3904
60,"Pesca","2018",
60,"Turismo","2018",
61,"Acuicultura","2018",
61,"Alojamiento","2018",514516.3952
61,"Pesca","2018",5526827.144
61,"Transporte","2018",
61,"Turismo","2018",
62,"Acuicultura","2018",
62,"Alojamiento","2018",
62,"Pesca","2018",
62,"Transporte","2018",
62,"Turismo","2018",
63,"Acuicultura","2018",
63,"Alojamiento","2018",
63,"Pesca","2018",
63,"Transporte","2018",
63,"Turismo","2018",
64,"Acuicultura","2018",
64,"Alojamiento","2018",313221.9328
64,"Pesca","2018",220577.3568
64,"Transporte","2018",
64,"Turismo","2018",
65,"Acuicultura","2018",
65,"Alojamiento","2018",
65,"Pesca","2018",
65,"Transporte","2018",
66,"Acuicultura","2018",
66,"Alojamiento","2018",1593154.9024
66,"Pesca","2018",
66,"Transporte","2018",
66,"Turismo","2018",
67,"Acuicultura","2018",
67,"Alojamiento","2018",2127190.6816
67,"Pesca","2018",587726.112
67,"Transporte","2018",
67,"Turismo","2018",
68,"Alojamiento","2018",
69,"Acuicultura","2018",
69,"Alojamiento","2018",369986.6304
69,"Pesca","2018",
69,"Transporte","2018",
69,"Turismo","2018",
70,"Acuicultura","2018",6661896273.52
70,"Alojamiento","2018",5485077.7376
70,"Pesca","2018",237178374.1616
70,"Transporte","2018",520715107.2816
70,"Turismo","2018",4737669.8912
71,"Acuicultura","2018",562552785.448
71,"Alojamiento","2018",2732323.9568
71,"Pesca","2018",
71,"Transporte","2018",365535.5904
71,"Turismo","2018",4852885.736
72,"Acuicultura","2018",9476198.0688
72,"Alojamiento","2018",5279158.24
72,"Pesca","2018",79400443.9856
72,"Transporte","2018",1430441.5152
72,"Turismo","2018",6749960.3472
73,"Acuicultura","2018",0
73,"Alojamiento","2018",600064.0352
73,"Pesca","2018",
73,"Transporte","2018",
74,"Turismo","2018",
74,"Acuicultura","2018",
74,"Alojamiento","2018",
74,"Transporte","2018",
74,"Turismo","2018",
75,"Acuicultura","2018",2392317.104
75,"Alojamiento","2018",
75,"Pesca","2018",2498254.5536
75,"Transporte","2018",
75,"Turismo","2018",
76,"Acuicultura","2018",476179497.76
76,"Alojamiento","2018",606469.0368
76,"Pesca","2018",43264914.0336
76,"Transporte","2018",15857726.0528
76,"Turismo","2018",
77,"Acuicultura","2018",
77,"Alojamiento","2018",
77,"Pesca","2018",
77,"Transporte","2018",
77,"Turismo","2018",
78,"Acuicultura","2018",4641662.3072
78,"Alojamiento","2018",
78,"Pesca","2018",
78,"Transporte","2018",0
78,"Turismo","2018",
79,"Acuicultura","2018",
79,"Alojamiento","2018",223766.3696
79,"Pesca","2018",700941.6864
79,"Transporte","2018",
79,"Turismo","2018",
80,"Acuicultura","2018",
80,"Alojamiento","2018",
80,"Pesca","2018",
80,"Transporte","2018",
81,"Río Verde","2018",
81,"Alojamiento","2018",
82,"Acuicultura","2018",
82,"Alojamiento","2018",
82,"Pesca","2018",
82,"Transporte","2018",
82,"Turismo","2018",
83,"Acuicultura","2018",
83,"Alojamiento","2018",831756.8528
83,"Pesca","2018",75980682.528
83,"Transporte","2018",
83,"Turismo","2018",
84,"Alojamiento","2018",
85,"Acuicultura","2018",
85,"Alojamiento","2018",115524.2704
85,"Pesca","2018",
85,"Transporte","2018",
85,"Turismo","2018",
86,"Alojamiento","2018",7688263.408
86,"Pesca","2018",
86,"Turismo","2018",7066727.376
87,"Alojamiento","2018",
87,"Pesca","2018",
87,"Transporte","2018",
87,"Turismo","2018",
88,"Acuicultura","2018",
88,"Alojamiento","2018",329816.2192
88,"Pesca","2018",44715133.4528
88,"Transporte","2018",
88,"Turismo","2018",
89,"Acuicultura","2018",
89,"Alojamiento","2018",398653.576
89,"Pesca","2018",0
89,"Turismo","2018",
90,"Alojamiento","2018",
90,"Pesca","2018",
90,"Transporte","2018",
90,"Turismo","2018",
91,"Alojamiento","2018",
91,"Turismo","2018",
92,"Acuicultura","2018",
92,"Alojamiento","2018",155647.9232
92,"Pesca","2018",
92,"Transporte","2018",
92,"Turismo","2018",
93,"Acuicultura","2018",0
93,"Alojamiento","2018",411901.04
93,"Pesca","2018",
93,"Transporte","2018",
93,"Turismo","2018",
94,"Acuicultura","2018",
94,"Alojamiento","2018",
94,"Pesca","2018",87340.6448
94,"Transporte","2018",
94,"Turismo","2018",
95,"Acuicultura","2018",
95,"Alojamiento","2018",371613.2832
95,"Pesca","2018",0
95,"Transporte","2018",
95,"Turismo","2018",
96,"Alojamiento","2018",
96,"Transporte","2018",
96,"Turismo","2018",
97,"Alojamiento","2018",
97,"Transporte","2018",
97,"Turismo","2018",
98,"Alojamiento","2018",
