"rgn_id","specie","status"
19,"Pelecanoides garnotii","EN"
19,"Pelecanus thagus","NT"
19,"Phalacrocorax gaimardi","NT"
19,"Phoenicopterus chilensis","NT"
19,"Plegadis chihi","NT"
19,"Puffinus creatopus","EN"
19,"Puffinus griseus","NT"
19,"Spheniscus humboldti","VU"
19,"Sula variegata","LC"
19,"Thalassarche melanophris","LC"
19,"Thalasseus elegans","NT"
19,"Tringa flavipes","LC"
20,"Charadrius modestus","LC"
20,"Charadrius nivosus","VU"
20,"Chloephaga hybrida","VU"
20,"Coscoroba coscoroba","LC"
20,"Concholepas concholepas","EN"
20,"Cygnus melancoryphus","LC"
20,"Diomedea exulans","VU"
20,"Durvillaea antarctica","LC"
20,"Eleginops maclovinus","LC"
20,"Ensis macha","VU"
20,"Falco peregrinus","LC"
20,"Geranoaetus melanoleucus","LC"
20,"Haematopus palliatus","NT"
20,"Heteronetta atricapilla","LC"
20,"Ixobrychus involucris","LC"
20,"Leucophaeus modestus","VU"
20,"Leucophaeus pipixcan","LC"
20,"Macronectes giganteus","VU"
20,"Mesodesma donacium","EN"
20,"Mytilus chilensis","NT"
20,"Numenius phaeopus","LC"
20,"Pelecanus thagus","NT"
20,"Phalacrocorax gaimardi","NT"
20,"Phoenicopterus chilensis","NT"
20,"Plegadis chihi","NT"
20,"Puffinus creatopus","EN"
20,"Puffinus griseus","NT"
20,"Speculanas specularis","NT"
20,"Spheniscus humboldti","VU"
20,"Sula variegata","LC"
20,"Tachyeres pteneres","NT"
20,"Thalassarche melanophris","LC"
20,"Thalassarche salvini","VU"
20,"Tringa flavipes","LC"
20,"Zearaja chilensis","EN"
21,"Ameghinomya antiqua","NT"
21,"Aulacomya atra","LC"
21,"Chloephaga hybrida","VU"
21,"Coscoroba coscoroba","LC"
21,"Cygnus melancoryphus","LC"
21,"Desmophyllum dianthus","NT"
21,"Diomedea epomophora","VU"
21,"Diomedea exulans","VU"
21,"Durvillaea antarctica","LC"
21,"Enteroctopus megalocyathus","LC"
21,"Eubalaena australis","EN"
21,"Geranoaetus melanoleucus","LC"
21,"Haematopus palliatus","NT"
21,"Lagenorhynchus australis","LC"
21,"Lagenorhynchus obscurus","LC"
21,"Larosterna inca","NT"
21,"Leucophaeus pipixcan","LC"
21,"Lontra felina","EN"
21,"Lontra provocax","EN"
21,"Macronectes giganteus","VU"
21,"Megaptera novaeangliae","VU"
21,"Mirounga leonina","LC"
21,"Mulinia edulis","VU"
21,"Mytilus chilensis","NT"
21,"Numenius phaeopus","LC"
21,"Orcinus orca","LC"
21,"Ostrea chilensis","LC"
21,"Otaria byronia","LC"
21,"Pelecanus thagus","NT"
21,"Phalacrocorax gaimardi","NT"
21,"Phoenicopterus chilensis","NT"
21,"Puffinus creatopus","EN"
21,"Puffinus griseus","NT"
21,"Sarcopeltis skottsbergii","VU"
21,"Tachyeres patachonicus","LC"
21,"Tachyeres pteneres","NT"
21,"Tagelus dombeii","EN"
21,"Tawera elliptica","EN"
21,"Thalassarche melanophris","LC"
21,"Tursiops truncatus","LC"
21,"Vultur gryphus","NT"
22,"Charadrius collaris","NT"
22,"Charadrius modestus","LC"
22,"Coscoroba coscoroba","LC"
22,"Cygnus melancoryphus","LC"
22,"Diomedea epomophora","VU"
22,"Falco peregrinus","LC"
22,"Haematopus palliatus","NT"
22,"Larosterna inca","NT"
22,"Leucocarbo bougainvillii","NT"
22,"Leucophaeus modestus","VU"
22,"Leucophaeus pipixcan","LC"
22,"Macronectes giganteus","VU"
22,"Numenius phaeopus","LC"
22,"Otaria byronia","LC"
22,"Pelecanus thagus","NT"
22,"Phalacrocorax gaimardi","NT"
22,"Puffinus creatopus","EN"
22,"Puffinus griseus","NT"
22,"Sula variegata","LC"
22,"Thalassarche salvini","VU"
22,"Thalasseus elegans","NT"
23,"Aulacomya atra","LC"
23,"Cygnus melancoryphus","LC"
23,"Haematopus palliatus","NT"
23,"Heterocarpus reedi","VU"
23,"Leucophaeus modestus","VU"
23,"Leucophaeus pipixcan","LC"
23,"Mytilus chilensis","NT"
23,"Numenius phaeopus","LC"
23,"Pelecanus thagus","NT"
23,"Phalacrocorax gaimardi","NT"
23,"Sula variegata","LC"
23,"Tachyeres patachonicus","LC"
23,"Thalassarche melanophris","LC"
24,"Charadrius collaris","NT"
24,"Coscoroba coscoroba","LC"
24,"Cygnus melancoryphus","LC"
24,"Haematopus palliatus","NT"
24,"Leucocarbo bougainvillii","NT"
24,"Leucophaeus modestus","VU"
24,"Leucophaeus pipixcan","LC"
24,"Numenius phaeopus","LC"
24,"Pelecanus thagus","NT"
24,"Phalacrocorax gaimardi","NT"
24,"Puffinus griseus","NT"
24,"Sula variegata","LC"
24,"Tringa flavipes","LC"
25,"Charadrius collaris","NT"
25,"Charadrius modestus","LC"
25,"Charadrius nivosus","VU"
25,"Chroicocephalus serranus","LC"
