"","rgn_id","rgn_name","Year","Xao"
"347",74,"Purranque",2021,0.0349622037030048
"348",75,"Queilen",2017,0.219231561628918
"349",75,"Queilen",2018,0.420984255891089
"350",75,"Queilen",2019,0.153003529211791
"351",75,"Queilen",2020,0.44288148877676
"352",75,"Queilen",2021,0.344672296681481
"353",76,"Quellon",2017,0.481901853826397
"354",76,"Quellon",2018,0.219914774433474
"355",76,"Quellon",2019,0.262342381792093
"356",76,"Quellon",2020,0.192771411437131
"357",76,"Quellon",2021,0.104249742791772
"358",77,"Quemchi",2017,0.53881652282253
"359",77,"Quemchi",2018,0.288640712104332
"360",77,"Quemchi",2019,0.285731468900776
"361",77,"Quemchi",2020,0.425665425606555
"362",77,"Quemchi",2021,0.141521113475224
"363",78,"Quinchao",2017,0.525967980418477
"364",78,"Quinchao",2018,0.330784365432014
"365",78,"Quinchao",2019,0.218501907456419
"366",78,"Quinchao",2020,0.202856630277051
"367",78,"Quinchao",2021,0.181773810127804
"368",79,"Quintero",2017,0.475683967535729
"369",79,"Quintero",2018,0.181308840333564
"370",79,"Quintero",2019,0.0993743866787424
"371",79,"Quintero",2020,0.134058308679956
"372",79,"Quintero",2021,0.214942514537324
"373",80,"Rio Negro",2017,0.290750225971678
"374",80,"Rio Negro",2018,0.0946068092799037
"375",80,"Rio Negro",2019,0
"376",80,"Rio Negro",2021,0.333333333333333
"377",81,"Rio Verde",2017,0.674305304493702
"378",81,"Rio Verde",2018,0.257591513231194
"379",81,"Rio Verde",2019,0.580142819836102
"380",81,"Rio Verde",2020,0.273016597944783
"381",81,"Rio Verde",2021,0.222839021105434
"382",82,"Saavedra",2017,0.472539877571569
"383",82,"Saavedra",2018,0.2590899806275
"384",82,"Saavedra",2019,0.111481635040324
"385",82,"Saavedra",2020,0.233782267486489
"386",82,"Saavedra",2021,0.137916011465268
"387",83,"San antonio",2017,0.402662464384711
"388",83,"San antonio",2018,0.210322108873903
"389",83,"San antonio",2019,0.0924360636917044
"390",83,"San antonio",2020,0.0618144557166083
"391",83,"San antonio",2021,0.18232439102125
"392",85,"San Juan de la Costa",2017,0.425007506097586
"393",85,"San Juan de la Costa",2018,0.236157528307075
"394",85,"San Juan de la Costa",2019,0.0581001068908966
"395",85,"San Juan de la Costa",2020,0.112627502222954
"396",85,"San Juan de la Costa",2021,0.165371406008515
