rgn_id,rgn_name,Year,Xao
53,LOS MUERMOS,2021,54.09730774
54,LOS VILOS,2017,43.01776432
54,LOS VILOS,2018,29.89075648
54,LOS VILOS,2019,12.99453357
54,LOS VILOS,2020,42.00256575
54,LOS VILOS,2021,27.28850639
55,LOTA,2017,30.47982964
55,LOTA,2018,5.587002048
55,LOTA,2019,29.51224764
55,LOTA,2020,28.98962098
55,LOTA,2021,44.84278473
56,MARIQUINA,2017,5.006928882
56,MARIQUINA,2018,39.5945414
56,MARIQUINA,2019,32.39504327
56,MARIQUINA,2020,19.64715099
56,MARIQUINA,2021,29.33395218
57,MAULLIN,2017,10.57478929
57,MAULLIN,2018,23.69086922
57,MAULLIN,2019,40.04355384
57,MAULLIN,2020,21.92705147
57,MAULLIN,2021,5.317411011
58,MEJILLONES,2017,37.87086977
58,MEJILLONES,2018,22.13575425
58,MEJILLONES,2019,16.97690566
58,MEJILLONES,2020,37.89903757
58,MEJILLONES,2021,50.20372226
59,NATALES,2017,61.39781649
59,NATALES,2018,57.48825854
59,NATALES,2019,55.4630267
59,NATALES,2020,64.6154435
59,NATALES,2021,28.29362641
60,NAVIDAD,2017,47.87193187
60,NAVIDAD,2018,35.277833
60,NAVIDAD,2019,28.11077651
60,NAVIDAD,2020,13.40580619
60,NAVIDAD,2021,9.138602828
61,OVALLE,2017,49.37010106
61,OVALLE,2018,22.77953409
61,OVALLE,2019,25.59132658
61,OVALLE,2020,24.89173098
61,OVALLE,2021,27.563195
62,PAPUDO,2017,42.22484838
62,PAPUDO,2018,19.69886316
62,PAPUDO,2019,7.479588841
62,PAPUDO,2020,33.27164275
62,PAPUDO,2021,25.24764014
63,PAREDONES,2017,55.6567565
63,PAREDONES,2018,28.90622104
63,PAREDONES,2019,19.49030193
63,PAREDONES,2020,46.68643865
63,PAREDONES,2021,40.1702739
64,PELLUHUE,2017,19.36343177
64,PELLUHUE,2018,43.37429041
64,PELLUHUE,2019,31.30906162
64,PELLUHUE,2020,38.03552403
64,PELLUHUE,2021,31.71831699
65,PENCO,2017,38.50860759
65,PENCO,2018,11.89587606
65,PENCO,2019,45.65002382
65,PENCO,2020,19.61843477
65,PENCO,2021,9.890805653
66,PICHILEMU,2017,42.76491318
66,PICHILEMU,2018,40.11297149
66,PICHILEMU,2019,8.696153471
66,PICHILEMU,2020,19.34283885
66,PICHILEMU,2021,26.6152281
67,PORVENIR,2017,81.41068253
67,PORVENIR,2018,28.86464648
67,PORVENIR,2019,60.72453204
67,PORVENIR,2020,53.33195284
67,PORVENIR,2021,43.44101971
68,PRIMAVERA,NA,NA
69,PUCHUNCAVI,2017,43.02230512
