rgn_id;rgn_name;habitat;2017;2018;2019;2020;2021
58;Mejillones;Bentonico;1959.959137;1959.959137;1959.959137;1959.959137;1959.959137
58;Mejillones;Litoral;95.86142876;95.86142876;95.86142876;95.86142876;95.86142876
58;Mejillones;Zona de surgencia;336.06972;336.06972;336.06972;336.06972;336.06972
59;Natales;Bentonico;751.5307035;751.5307035;751.5307035;751.5307035;751.5307035
59;Natales;Canales;11217.75441;11217.75441;11217.75441;11217.75441;11217.75441
59;Natales;Costa expuesta;14287.67664;14287.67664;14287.67664;14287.67664;14287.67664
59;Natales;Estrechos;1108.442128;1108.442128;1108.442128;1108.442128;1108.442128
59;Natales;Fiordos;3805.861435;3805.861435;3805.861435;3805.861435;3805.861435
60;Navidad;Bentonico;424.0763948;424.0763948;424.0763948;424.0763948;424.0763948
60;Navidad;Litoral;71.54107385;71.54107385;71.54107385;71.54107385;71.54107385
61;Ovalle;Abisal;0.625514347;0.625514347;0.625514347;0.625514347;0.625514347
61;Ovalle;Bentonico;2147.068145;2147.068145;2147.068145;2147.068145;2147.068145
61;Ovalle;Litoral;77.05237333;77.05237333;77.05237333;77.05237333;77.05237333
62;Papudo;Bentonico;249.9367107;249.9367107;249.9367107;249.9367107;249.9367107
62;Papudo;Litoral;23.8648272;23.8648272;23.8648272;23.8648272;23.8648272
63;Paredones;Bentonico;318.7878913;318.7878913;318.7878913;318.7878913;318.7878913
63;Paredones;Litoral;37.29124308;37.29124308;37.29124308;37.29124308;37.29124308
64;Pelluhue;Bentonico;689.9597352;689.9597352;689.9597352;689.9597352;689.9597352
64;Pelluhue;Litoral;114.374295;114.374295;114.374295;114.374295;114.374295
65;Penco;Bentonico;82.11225177;82.11225177;82.11225177;82.11225177;82.11225177
65;Penco;Litoral;108.9753187;108.9753187;108.9753187;108.9753187;108.9753187
66;Pichilemu;Bentonico;926.5093236;926.5093236;926.5093236;926.5093236;926.5093236
66;Pichilemu;Litoral;73.78005864;73.78005864;73.78005864;73.78005864;73.78005864
67;Porvenir;Canales;1.035105566;1.035105566;1.035105566;1.035105566;1.035105566
67;Porvenir;Costa;1455.364167;1455.364167;1455.364167;1455.364167;1455.364167
67;Porvenir;Estrechos;1142.866837;1142.866837;1142.866837;1142.866837;1142.866837
68;Primavera;Estrechos;2659.341836;2659.341836;2659.341836;2659.341836;2659.341836
69;Puchuncavi;Bentonico;372.2596022;372.2596022;372.2596022;372.2596022;372.2596022
69;Puchuncavi;Litoral;47.29857621;47.29857621;47.29857621;47.29857621;47.29857621
70;Puerto Montt;Costa;562.9699145;562.9699145;562.9699145;562.9699145;562.9699145
71;Puerto Varas;Fiordos;8.303724544;8.303724544;8.303724544;8.303724544;8.303724544
72;Punta Arenas;Bentonico;1002.52103;1002.52103;1002.52103;1002.52103;1002.52103
72;Punta Arenas;Canales;2220.817052;2220.817052;2220.817052;2220.817052;2220.817052
72;Punta Arenas;Costa;25.19656226;25.19656226;25.19656226;25.19656226;25.19656226
72;Punta Arenas;Costa expuesta;9699.316418;9699.316418;9699.316418;9699.316418;9699.316418
72;Punta Arenas;Estrechos;5427.986369;5427.986369;5427.986369;5427.986369;5427.986369
72;Punta Arenas;Fiordos;1012.273003;1012.273003;1012.273003;1012.273003;1012.273003
72;Punta Arenas;Senos;1160.563656;1160.563656;1160.563656;1160.563656;1160.563656
73;Puqueldon;Costa;150.6306765;150.6306765;150.6306765;150.6306765;150.6306765
74;Purranque;Bentonico;603.7221736;603.7221736;603.7221736;603.7221736;603.7221736
74;Purranque;Litoral;82.76588039;82.76588039;82.76588039;82.76588039;82.76588039
75;Queilen;Costa;1105.24905;1105.24905;1105.24905;1105.24905;1105.24905
76;Quellon;Bentonico;167.4377861;167.4377861;167.4377861;167.4377861;167.4377861
76;Quellon;Costa;2129.380166;2129.380166;2129.380166;2129.380166;2129.380166
76;Quellon;Costa expuesta;5469.915275;5469.915275;5469.915275;5469.915275;5469.915275
77;Quemchi;Costa;1486.7568;1486.7568;1486.7568;1486.7568;1486.7568
78;Quinchao;Costa;811.9839225;811.9839225;811.9839225;811.9839225;811.9839225
79;Quintero;Bentonico;355.0430851;355.0430851;355.0430851;355.0430851;355.0430851
79;Quintero;Litoral;52.32061962;52.32061962;52.32061962;52.32061962;52.32061962
79;Quintero;Zona de surgencia;7.580456489;7.580456489;7.580456489;7.580456489;7.580456489
80;Rio Negro;Bentonico;448.5137005;448.5137005;448.5137005;448.5137005;448.5137005
80;Rio Negro;Litoral;39.65958577;39.65958577;39.65958577;39.65958577;39.65958577
81;Rio Verde;Canales;214.9197592;214.9197592;214.9197592;214.9197592;214.9197592
81;Rio Verde;Estrechos;912.9219702;912.9219702;912.9219702;912.9219702;912.9219702
81;Rio Verde;Fiordos;1979.055861;1979.055861;1979.055861;1979.055861;1979.055861
81;Rio Verde;Senos;1087.73114;1087.73114;1087.73114;1087.73114;1087.73114
82;Saavedra;Bentonico;313.7772626;313.7772626;313.7772626;313.7772626;313.7772626
82;Saavedra;Litoral;224.128452;224.128452;224.128452;224.128452;224.128452
83;San antonio;Bentonico;155.0096472;155.0096472;155.0096472;155.0096472;155.0096472
83;San antonio;Litoral;18.21691144;18.21691144;18.21691144;18.21691144;18.21691144
84;San Gregorio;Estrechos;1717.689693;1717.689693;1717.689693;1717.689693;1717.689693
85;San Juan de la Costa;Bentonico;996.5664103;996.5664103;996.5664103;996.5664103;996.5664103
85;San Juan de la Costa;Litoral;132.273144;132.273144;132.273144;132.273144;132.273144
86;San pedro de la paz;Bentonico;260.5907857;260.5907857;260.5907857;260.5907857;260.5907857
86;San pedro de la paz;Zona de surgencia;313.487819;313.487819;313.487819;313.487819;313.487819
87;Santo domingo;Bentonico;770.4181396;770.4181396;770.4181396;770.4181396;770.4181396
87;Santo domingo;Litoral;250.4429604;250.4429604;250.4429604;250.4429604;250.4429604
88;Talcahuano;Bentonico;316.5901316;316.5901316;316.5901316;316.5901316;316.5901316
88;Talcahuano;Litoral;28.93374054;28.93374054;28.93374054;28.93374054;28.93374054
89;Taltal;Bentonico;4099.310514;4099.310514;4099.310514;4099.310514;4099.310514
89;Taltal;Litoral;213.3726085;213.3726085;213.3726085;213.3726085;213.3726085
90;Teodoro schmidt;Bentonico;454.2798834;454.2798834;454.2798834;454.2798834;454.2798834
90;Teodoro schmidt;Litoral;283.5734639;283.5734639;283.5734639;283.5734639;283.5734639
91;Timaukel;Canales;1183.734211;1183.734211;1183.734211;1183.734211;1183.734211
91;Timaukel;Costa;483.4543579;483.4543579;483.4543579;483.4543579;483.4543579
91;Timaukel;Estrechos;2.066942983;2.066942983;2.066942983;2.066942983;2.066942983
91;Timaukel;Senos;1007.046651;1007.046651;1007.046651;1007.046651;1007.046651
92;Tirua;Bentonico;1913.7988;1913.7988;1913.7988;1913.7988;1913.7988
92;Tirua;Litoral;418.9295534;418.9295534;418.9295534;418.9295534;418.9295534
93;Tocopilla;Bentonico;3041.345866;3041.345866;3041.345866;3041.345866;3041.345866
93;Tocopilla;Litoral;153.2923513;153.2923513;153.2923513;153.2923513;153.2923513
94;Tolten;Bentonico;207.6537349;207.6537349;207.6537349;207.6537349;207.6537349
94;Tolten;Litoral;160.7011099;160.7011099;160.7011099;160.7011099;160.7011099
95;Tome;Bentonico;486.1431697;486.1431697;486.1431697;486.1431697;486.1431697
95;Tome;Litoral;149.8278824;149.8278824;149.8278824;149.8278824;149.8278824
96;Torres del Paine;Fiordos;142.3401889;142.3401889;142.3401889;142.3401889;142.3401889
97;Tortel;Bentonico;845.6760092;845.6760092;845.6760092;845.6760092;845.6760092
97;Tortel;Canales;1894.21867;1894.21867;1894.21867;1894.21867;1894.21867
97;Tortel;Costa expuesta;9625.452191;9625.452191;9625.452191;9625.452191;9625.452191
97;Tortel;Fiordos;2159.512538;2159.512538;2159.512538;2159.512538;2159.512538
98;Treguaco;Bentonico;68.92931876;68.92931876;68.92931876;68.92931876;68.92931876
98;Treguaco;Litoral;15.76533495;15.76533495;15.76533495;15.76533495;15.76533495
99;Valdivia;Bentonico;542.4328771;542.4328771;542.4328771;542.4328771;542.4328771
99;Valdivia;Litoral;105.4490704;105.4490704;105.4490704;105.4490704;105.4490704
100;Valparaiso;Bentonico;219.3376812;219.3376812;219.3376812;219.3376812;219.3376812
100;Valparaiso;Litoral;3.966192156;3.966192156;3.966192156;3.966192156;3.966192156
100;Valparaiso;Zona de surgencia;160.5949054;160.5949054;160.5949054;160.5949054;160.5949054
101;Vichuquen;Bentonico;496.0043983;496.0043983;496.0043983;496.0043983;496.0043983
101;Vichuquen;Litoral;39.1971341;39.1971341;39.1971341;39.1971341;39.1971341
102;Vina del mar;Bentonico;156.0211989;156.0211989;156.0211989;156.0211989;156.0211989
102;Vina del mar;Litoral;3.752615103;3.752615103;3.752615103;3.752615103;3.752615103
102;Vina del mar;Zona de surgencia;179.1857506;179.1857506;179.1857506;179.1857506;179.1857506
103;Zapallar;Bentonico;326.0165393;326.0165393;326.0165393;326.0165393;326.0165393
103;Zapallar;Litoral;24.63052669;24.63052669;24.63052669;24.63052669;24.63052669
